,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
4443,4,1,2930418.44,2044690596,2930418.44,0.0,932583850,3616012.1,6963508.84,1,0
4667,4,4,169941.73,540962910,169941.73,0.0,2127862399,0.0,0.0,1,0
4668,4,1,169941.73,2026325575,169941.73,0.0,1394526584,0.0,169941.73,1,0
4693,4,4,13707.11,17222024,13707.11,0.0,410033330,0.0,0.0,1,0
4694,4,1,13707.11,556223230,13707.11,0.0,2094777811,0.0,13707.11,1,0
4775,4,4,86070.17,1844941220,86070.17,0.0,1191544932,0.0,0.0,1,0
4776,4,1,86070.17,1699873763,86070.17,0.0,560041895,0.0,86070.17,1,0
4857,5,4,120074.73,1409933277,120074.73,0.0,162114152,0.0,0.0,1,0
4858,5,1,120074.73,1174000532,120074.73,0.0,410033330,0.0,120074.73,1,0
5123,5,4,60726.57,383882703,60726.57,0.0,1807010830,0.0,0.0,1,0
5124,5,1,60726.57,840095827,60726.57,0.0,803116137,13010502.78,13071229.35,1,0
5466,5,4,10119.47,1775746074,10119.47,0.0,746009679,0.0,0.0,1,0
5467,5,1,10119.47,213063852,10119.47,0.0,922511709,0.0,10119.47,1,0
5558,6,4,33332.86,2025652936,33332.86,0.0,1662235713,0.0,0.0,1,0
5559,6,1,33332.86,685428529,33332.86,0.0,1626759869,31002.0,0.0,1,0
5746,6,4,25975.86,864622150,25975.86,0.0,41792607,0.0,0.0,1,0
5747,6,1,25975.86,1004271827,25975.86,0.0,451934410,98152.0,28041.27,1,0
5852,6,4,26768.5,457596841,26768.5,0.0,1956477953,0.0,0.0,1,0
5853,6,1,26768.5,682812632,26768.5,0.0,256417920,101976.0,128744.5,1,0
5994,6,4,30521.02,903383636,30521.02,0.0,904300960,0.0,0.0,1,0
5995,6,1,30521.02,1813769162,30521.02,0.0,1249547869,0.0,30521.02,1,0
6583,6,4,216422.0,666642000,216422.0,0.0,1315078366,0.0,0.0,1,0
6584,6,1,216422.0,1547714604,216422.0,0.0,7881234,10097.0,48630.5,1,0
6702,6,4,17320.91,788790720,17320.91,0.0,1589547066,0.0,0.0,1,0
6703,6,1,17320.91,436661284,17320.91,0.0,522173599,6244.44,0.0,1,0
6706,6,4,17246.0,1034673425,17246.0,0.0,1379589736,0.0,101717.84,1,0
6707,6,1,17246.0,1484518113,17246.0,0.0,978609035,0.0,17246.0,1,0
6897,6,4,10565.0,777407608,10565.0,0.0,1790657739,0.0,0.0,1,0
6898,6,1,10565.0,1191732945,10565.0,0.0,418964192,36275.0,24380.72,1,0
7002,6,4,10224.0,365589282,10224.0,0.0,908043384,0.0,0.0,1,0
7003,6,1,10224.0,1284098442,10224.0,0.0,801412408,0.0,10224.0,1,0
7029,6,4,85354.69,558400671,85354.69,0.0,527482085,0.0,0.0,1,0
7030,6,1,85354.69,158801009,85354.69,0.0,382431057,11170.0,10612.55,1,0
7154,6,4,13704.0,1735554279,13704.0,0.0,12793273,0.0,1658746.09,1,0
7155,6,1,13704.0,1421965867,13704.0,0.0,1438594533,3382.84,143675.35,1,0
9284,7,4,262434.54,2101686389,262434.54,0.0,612008977,0.0,0.0,1,0
9285,7,1,262434.54,383717053,262434.54,0.0,380242442,19525.79,438233.86,1,0
10218,7,4,21729.0,1686905633,21729.0,0.0,824421402,0.0,0.0,1,0
10219,7,1,21729.0,693427358,21729.0,0.0,1101441872,27335.0,0.0,1,0
10395,7,4,5460002.91,666654362,5460002.91,0.0,1726301214,0.0,0.0,1,0
10396,7,1,5460002.91,1588880909,5460002.91,0.0,1570256460,0.0,9281535.44,1,0
12179,7,4,164.0,1455969984,164.0,0.0,2119910556,0.0,0.0,1,0
12180,7,1,164.0,1173659886,164.0,0.0,1769947269,4068.0,0.0,1,0
12214,7,4,21571.0,786114805,21571.0,0.0,1666314150,0.0,0.0,1,0
12215,7,1,21571.0,452475723,21571.0,0.0,2089016471,30797.41,71140.3,1,0
12467,7,4,441445.58,1023505879,441445.58,0.0,847761155,0.0,0.0,1,0
12468,7,1,441445.58,398085606,441445.58,0.0,2072030256,98993.5,0.0,1,0
14861,8,1,181728.11,2102265902,0.0,0.0,789014007,11397.0,184477.77,1,0
18771,8,4,222.0,1961506277,222.0,0.0,378841819,0.0,267095.19,1,0
18772,8,1,222.0,1737727444,222.0,0.0,588779235,24708.0,171647.35,1,0
24966,8,4,1996.17,1198040187,1996.17,0.0,1828047633,0.0,0.0,1,0
24967,8,1,1996.17,858959216,1996.17,0.0,864078397,2559.74,4555.92,1,0
25875,8,4,1078013.76,1026280121,0.0,0.0,277510102,0.0,970749.68,1,0
33472,8,4,89631.24,74534388,89631.24,0.0,1748042844,0.0,0.0,1,0
33473,8,1,89631.24,1938531779,89631.24,0.0,2048578791,21175.0,0.0,1,0
33913,8,4,29707.86,1825456600,29707.86,0.0,570409417,0.0,0.0,1,0
33914,8,1,29707.86,515973302,29707.86,0.0,170071280,10935.0,0.0,1,0
34168,8,4,43092.0,1683174795,43092.0,0.0,427998326,0.0,0.0,1,0
34169,8,1,43092.0,1395071924,43092.0,0.0,79685693,660641.74,1158662.9,1,0
36026,9,4,556218.01,1769581889,556218.01,0.0,217441120,0.0,0.0,1,0
36027,9,1,556218.01,589143360,556218.01,0.0,1992550266,0.0,582265.81,1,0
36691,9,4,11308.0,299933576,11308.0,0.0,1060999444,0.0,0.0,1,0
36692,9,1,11308.0,921533797,11308.0,0.0,424669538,0.0,302550.56,1,0
47144,9,4,350705.74,1452168793,350705.74,0.0,399194578,0.0,1184633.07,1,0
47145,9,1,350705.74,58527359,350705.74,0.0,582901057,894760.68,1794033.65,1,0
49825,9,4,2539898.07,394488466,2539898.07,0.0,575638324,0.0,261290.69,1,0
49826,9,1,2539898.07,728718059,2539898.07,0.0,1013511446,968.0,1842864.22,1,0
49885,9,4,361559.69,1287719145,361559.69,0.0,352239275,0.0,141302.12,1,0
49886,9,1,361559.69,684758020,361559.69,0.0,1769042905,504667.31,189441.24,1,0
56477,9,4,1154353.99,670587931,1154353.99,0.0,150406565,0.0,10872.9,1,0
56478,9,1,1154353.99,1034219836,1154353.99,0.0,1195589213,162222.0,1965587.6,1,0
58307,9,4,21922.0,102617052,21922.0,0.0,760675871,0.0,0.0,1,0
58308,9,1,21922.0,1499032143,21922.0,0.0,1508330669,1929861.61,2046918.8,1,0
60853,9,4,994453.2,1121789613,1437370.87,442917.67,254839817,194812.76,665743.67,1,0
69201,9,4,1055.0,666486325,1055.0,0.0,279565067,0.0,0.0,1,0
69202,9,1,1055.0,1764109750,1055.0,0.0,1522743169,75179.0,0.0,1,0
72510,9,4,244068.01,1087133093,244068.01,0.0,1855553543,0.0,0.0,1,0
72511,9,1,244068.01,507466068,244068.01,0.0,706331499,0.0,338538.16,1,0
72930,10,4,59835.0,1568400442,59835.0,0.0,1262169546,0.0,0.0,1,0
72931,10,1,59835.0,1020461364,59835.0,0.0,2144015041,255480.76,315315.76,1,0
77745,10,1,277970.88,489647033,0.0,0.0,571514738,0.0,277970.88,1,0
90070,10,4,93810.76,481501970,93810.76,0.0,1262577882,0.0,0.0,1,0
90071,10,1,93810.76,1190429229,93810.76,0.0,2104652067,4096048.05,4189858.81,1,0
99371,10,4,503405.88,1446009472,503405.88,0.0,2010733400,0.0,0.0,1,0
99372,10,1,503405.88,140359285,503405.88,0.0,2020337583,29669.0,533074.88,1,0
102180,10,4,2662734.59,1182702586,2662734.59,0.0,2143409210,0.0,0.0,1,0
102181,10,1,2662734.59,813115168,2662734.59,0.0,401825929,14165.62,2930405.33,1,0
102607,10,4,9217.19,184586799,9217.19,0.0,812377986,0.0,96795.6,1,0
102608,10,1,9217.19,1105700111,9217.19,0.0,1767952032,0.0,9217.19,1,0
136419,11,4,2100.0,785601242,2100.0,0.0,1576053316,0.0,0.0,1,0
136420,11,1,2100.0,169099320,2100.0,0.0,697156329,112512.48,114612.48,1,0
138559,11,4,1933920.8,1706582969,0.0,0.0,461905695,1283762.85,3217683.65,1,0
141634,11,4,313418.28,711446907,313418.28,0.0,888769567,0.0,97980.88,1,0
141635,11,1,313418.28,2021456831,313418.28,0.0,157591472,688164.64,1029922.17,1,0
142087,11,4,12461.0,2079232448,12461.0,0.0,585834595,0.0,0.0,1,0
142088,11,1,12461.0,938980312,12461.0,0.0,621014131,27964.11,40425.11,1,0
146627,12,4,19472.0,1101705841,19472.0,0.0,925285469,0.0,0.0,1,0
146628,12,1,19472.0,1205151454,19472.0,0.0,664770316,0.0,19472.0,1,0
151657,12,4,3964129.99,576568419,3964129.99,0.0,1571546632,0.0,0.0,1,0
151658,12,1,3964129.99,1098250442,3964129.99,0.0,1140712423,1912955.54,5811064.07,1,0
151924,12,4,1041647.06,345293642,1041647.06,0.0,937194908,0.0,0.0,1,0
151925,12,1,1041647.06,169939918,1041647.06,0.0,1673501963,52730.33,1094377.39,1,0
167556,12,4,2066467.64,1223631235,2066467.64,0.0,1281019843,0.0,81209.81,1,0
167557,12,1,2066467.64,684252268,2066467.64,0.0,2027569559,194510.24,3098566.67,1,0
169998,12,1,149668.66,227115333,0.0,0.0,460735540,44170.11,193838.76,1,0
174584,12,4,2007.0,439464764,2007.0,0.0,562360384,0.0,0.0,1,0
174585,12,1,2007.0,1331829443,2007.0,0.0,127509847,129917.8,250910.76,1,0
178668,12,1,222048.71,265790428,0.0,0.0,1700442291,2979.0,225027.71,1,0
181900,12,4,8677.0,288028999,8677.0,0.0,184294001,0.0,0.0,1,0
181901,12,1,8677.0,343345083,8677.0,0.0,200064275,225127.62,233804.62,1,0
182861,13,4,408.0,2021466585,408.0,0.0,1864486913,0.0,226013.18,1,0
182862,13,1,408.0,1894004688,408.0,0.0,1293978242,898297.85,1075854.14,1,0
193765,13,4,48375.02,920803432,48375.02,0.0,1767389067,0.0,0.0,1,0
193766,13,1,48375.02,1894578299,48375.02,0.0,590035788,374803.26,658520.33,1,0
196775,13,4,4022667.54,735463888,4022667.54,0.0,1548348754,0.0,0.0,1,0
196776,13,1,4022667.54,79951219,4022667.54,0.0,1499489682,80136.56,4057191.21,1,0
200845,13,1,454859.39,1274887619,0.0,0.0,2146670328,0.0,454859.39,1,0
202361,13,4,1161495.82,1864459372,1161495.82,0.0,537531657,0.0,0.0,1,0
202362,13,1,1161495.82,165094398,1161495.82,0.0,1966002811,319036.02,1565123.81,1,0
204215,13,4,2686564.04,364029634,2686564.04,0.0,2041291172,0.0,0.0,1,0
204216,13,1,2686564.04,901331326,2686564.04,0.0,1662761228,438199.37,3124763.41,1,0
217320,13,4,6188514.81,135832352,6188514.81,0.0,2009346140,0.0,0.0,1,0
217321,13,1,6188514.81,686187434,6188514.81,0.0,1562904239,381607.21,6424681.56,1,0
217978,13,4,123194.95,2143112877,79466.45,0.0,1755380031,535933.16,263908.84,1,0
222997,14,4,2093951.47,1374377088,2093951.47,0.0,207611232,0.0,0.0,1,0
222998,14,1,2093951.47,1440901488,2093951.47,0.0,166839225,0.0,2093951.47,1,0
241947,14,4,143032.0,1960144830,143032.0,0.0,801162238,0.0,0.0,1,0
241948,14,1,143032.0,465166521,143032.0,0.0,487776685,814654.61,1020323.73,1,0
242982,14,4,2927005.15,2081788795,2927005.15,0.0,2138456206,0.0,0.0,1,0
242983,14,1,2927005.15,2010427735,2927005.15,0.0,1887744176,0.0,2994420.07,1,0
248771,14,4,1832319.42,439830884,1832319.42,0.0,1133002328,0.0,0.0,1,0
248772,14,1,1832319.42,803703656,1832319.42,0.0,858007309,43962.42,2440139.69,1,0
255701,14,4,1561891.66,736093511,1561891.66,0.0,1224081716,0.0,0.0,1,0
255702,14,1,1561891.66,15204463,1561891.66,0.0,1255502452,3471928.95,6443177.56,1,0
259844,14,4,65488.05,236875489,65488.05,0.0,528705657,0.0,0.0,1,0
259845,14,1,65488.05,1137669976,65488.05,0.0,1526507740,0.0,65488.05,1,0
271116,15,4,696763.08,968403759,696763.08,0.0,1524019269,0.0,69861.26,1,0
271117,15,1,696763.08,725915377,696763.08,0.0,1656726101,366114.58,1347073.81,1,0
277265,15,4,119.0,1995557473,119.0,0.0,1480876722,0.0,0.0,1,0
277266,15,1,119.0,1584512618,119.0,0.0,2102058838,4844060.13,4844179.13,1,0
277990,15,4,128473.62,1012580160,128473.62,0.0,540657255,0.0,0.0,1,0
277991,15,1,128473.62,905234452,128473.62,0.0,786510892,0.0,128473.62,1,0
285019,15,4,248056.41,1474711983,248056.41,0.0,1009564356,0.0,0.0,1,0
285020,15,1,248056.41,1055229266,248056.41,0.0,1689170857,0.0,201427.47,1,0
286185,15,4,164500.81,1761347420,164500.81,0.0,383804904,0.0,0.0,1,0
286186,15,1,164500.81,1689700172,164500.81,0.0,149696600,685636.21,850137.02,1,0
288376,15,4,212089.74,378910639,212089.74,0.0,1881567873,0.0,0.0,1,0
288377,15,1,212089.74,1970843703,212089.74,0.0,597280894,257758.48,469848.23,1,0
291459,15,1,95428.32,947728507,0.0,0.0,1720721903,0.0,95428.32,1,0
296686,15,1,39713.28,1404885898,0.0,0.0,1795377601,1274866.51,1314579.79,1,0
301801,15,4,170.0,553034695,170.0,0.0,26381896,0.0,0.0,1,0
301802,15,1,170.0,1065370362,170.0,0.0,200064275,413421.36,345764.15,1,0
302331,15,4,747282.4,1695793096,747282.4,0.0,849010584,0.0,0.0,1,0
302332,15,1,747282.4,842684426,747282.4,0.0,2025644484,5340917.82,6088200.22,1,0
303659,15,4,59385.67,1275373422,59385.67,0.0,1704707395,0.0,0.0,1,0
303660,15,1,59385.67,1765315298,59385.67,0.0,721356209,74371.0,133756.67,1,0
318373,16,4,2198224.71,752563135,2198224.71,0.0,247007952,0.0,0.0,1,0
318374,16,1,2198224.71,705981026,2198224.71,0.0,697783649,0.0,2198224.71,1,0
327761,16,4,828720.89,1422357582,828720.89,0.0,366986030,0.0,0.0,1,0
327762,16,1,828720.89,1002446735,828720.89,0.0,185805228,9142622.59,10184336.54,1,0
338007,16,4,2701905.3,494334546,2701905.3,0.0,428725863,0.0,0.0,1,0
338008,16,1,2701905.3,2140905252,2701905.3,0.0,970796050,57418.0,2759323.3,1,0
343300,16,4,31074.0,457962127,31074.0,0.0,614104997,0.0,0.0,1,0
343301,16,1,31074.0,2073757635,31074.0,0.0,1899325653,0.0,31074.0,1,0
347734,16,4,121626.82,185016231,121626.82,0.0,1409959,0.0,0.0,1,0
347735,16,1,121626.82,828364266,121626.82,0.0,101179743,653744.34,775371.16,1,0
368258,17,4,1639676.27,15998296,1639676.27,0.0,1652158314,0.0,0.0,1,0
368259,17,1,1639676.27,967691562,1639676.27,0.0,2093967426,448954.92,2198318.48,1,0
369526,17,4,305627.0,1711670940,305627.0,0.0,385061535,0.0,0.0,1,0
369527,17,1,305627.0,1600031018,305627.0,0.0,1971951800,7699847.16,8005474.16,1,0
376840,17,4,195351.76,1420261366,195351.76,0.0,639808302,0.0,0.0,1,0
376841,17,1,195351.76,268542581,195351.76,0.0,504693752,156408.25,265841.0,1,0
377151,17,1,42062.82,897869440,340830.43,298767.61,616721459,398931.35,678419.64,1,0
397546,18,4,295664.18,1726326177,295664.18,0.0,1540448785,0.0,0.0,1,0
397547,18,1,295664.18,1446413189,295664.18,0.0,185805228,10184336.54,10480000.72,1,0
404428,18,4,307739.18,1066119351,307739.18,0.0,702410034,0.0,0.0,1,0
404429,18,1,307739.18,281912643,307739.18,0.0,1264205758,25326.0,838246.41,1,0
408955,18,1,314251.58,1462280812,75956.47,0.0,90486891,7962205.25,8276456.84,1,0
410905,18,4,1102133.9,590103740,1102133.9,0.0,1610372134,0.0,746575.95,1,0
410906,18,1,1102133.9,1213142549,1102133.9,0.0,1880832297,306228.56,1408362.45,1,0
414521,18,4,1144089.37,1218322192,1144089.37,0.0,1107369132,0.0,0.0,1,0
414522,18,1,1144089.37,1542410200,1144089.37,0.0,183389809,2502877.26,3879210.29,1,0
421523,18,4,1974352.3,745648946,1974352.3,0.0,1091334879,0.0,0.0,1,0
421524,18,1,1974352.3,365968372,1974352.3,0.0,579837876,15531.71,1989884.01,1,0
421585,18,4,11481.0,370107492,11481.0,0.0,1680789799,0.0,263492.28,1,0
421586,18,1,11481.0,779194867,11481.0,0.0,1475456951,761417.61,1765080.5,1,0
424928,18,1,508782.2,576782065,0.0,0.0,2090737806,1082007.65,1590789.85,1,0
437291,18,4,9131.0,1592623877,9131.0,0.0,87183368,0.0,0.0,1,0
437292,18,1,9131.0,895161073,9131.0,0.0,1762082057,133084.02,142215.02,1,0
464597,19,4,143660.11,1156611770,143660.11,0.0,742977582,0.0,0.0,1,0
464598,19,1,143660.11,681501417,143660.11,0.0,447183071,0.0,143660.11,1,0
474966,19,4,3477438.49,767243506,3477438.49,0.0,1532877354,0.0,0.0,1,0
474967,19,1,3477438.49,841995363,3477438.49,0.0,1314676285,0.0,3477438.49,1,0
479636,19,1,122101.57,149845822,0.0,0.0,1200316948,0.0,639940.2,1,0
480463,19,4,161939.36,263177591,161939.36,0.0,94435408,0.0,0.0,1,0
480464,19,1,161939.36,1993475473,161939.36,0.0,1832323051,628935.02,851972.34,1,0
481250,19,4,10000000.0,416779475,11861008.32,1861008.32,380259496,0.0,0.0,1,0
481251,19,1,10000000.0,2050703310,10000000.0,0.0,1622860679,504326.62,10342417.9,1,0
481252,19,4,1861008.32,1990303942,1861008.32,0.0,1308678191,0.0,0.0,1,0
481253,19,1,1861008.32,1718961034,1861008.32,0.0,714051433,0.0,1789942.62,1,0
499609,20,4,16614.82,2080146129,16614.82,0.0,748889213,0.0,0.0,1,0
499610,20,1,16614.82,530844914,16614.82,0.0,1614121155,904409.29,921024.11,1,0
522655,20,4,448025.06,1976637754,448025.06,0.0,4020115,0.0,0.0,1,0
522656,20,1,448025.06,348303891,448025.06,0.0,1432596631,71679.93,519704.99,1,0
537962,21,4,785323.0,1204079316,785323.0,0.0,637091706,0.0,0.0,1,0
537963,21,1,785323.0,1794798581,785323.0,0.0,801984124,803839.25,1720783.92,1,0
538753,21,4,158299.34,278180302,158299.34,0.0,1551346623,0.0,0.0,1,0
538754,21,1,158299.34,179332971,158299.34,0.0,631110333,36152.54,271369.74,1,0
543928,21,1,23292.3,1861214292,0.0,0.0,1834461593,392364.62,415656.92,1,0
553050,22,4,346704.55,1332180070,346704.55,0.0,2027621451,0.0,0.0,1,0
553051,22,1,346704.55,54851371,346704.55,0.0,943084296,513994.79,860699.34,1,0
554857,22,4,461509.86,1765744035,461509.86,0.0,788887602,0.0,0.0,1,0
554858,22,1,461509.86,2141057802,461509.86,0.0,802885021,302583.81,764093.67,1,0
554875,22,4,37100.29,362085592,37100.29,0.0,1652057111,0.0,0.0,1,0
554876,22,1,37100.29,142707413,37100.29,0.0,63948986,433212.41,470312.7,1,0
555101,22,4,235512.2,480136801,235512.2,0.0,160106315,0.0,0.0,1,0
555102,22,1,235512.2,1956707614,235512.2,0.0,1481851679,8490637.21,9272647.09,1,0
555789,22,4,2068118.36,1472367087,2068118.36,0.0,52390890,0.0,0.0,1,0
555790,22,1,2068118.36,1672125863,2068118.36,0.0,559485820,3054285.45,5122403.81,1,0
556187,22,4,74804.24,1239771149,74804.24,0.0,1699565892,0.0,0.0,1,0
556188,22,1,74804.24,1683055902,74804.24,0.0,313857348,0.0,74804.24,1,0
556508,22,4,489767.32,869780206,489767.32,0.0,926230389,0.0,0.0,1,0
556509,22,1,489767.32,480109552,489767.32,0.0,720599914,0.0,489767.32,1,0
556521,22,4,379878.0,336424141,379878.0,0.0,404961694,0.0,0.0,1,0
556522,22,1,379878.0,1495269307,379878.0,0.0,475345362,1301414.19,1681292.19,1,0
559979,22,1,89571.46,1022920965,4505.6,0.0,1460548505,1929428.01,2018999.47,1,0
562125,22,4,1258956.71,1209224134,1258956.71,0.0,314012937,0.0,0.0,1,0
562126,22,1,1258956.71,673988903,1258956.71,0.0,833477645,4736010.72,5994967.43,1,0
562242,22,4,77773.14,834571675,77773.14,0.0,312865842,0.0,0.0,1,0
562243,22,1,77773.14,598573300,77773.14,0.0,2060664104,1853403.61,1931176.75,1,0
562862,22,4,239646.72,1977304181,239646.72,0.0,1053513851,0.0,0.0,1,0
562863,22,1,239646.72,663158205,239646.72,0.0,1104558647,2208970.26,2448616.98,1,0
566149,23,4,146127.1,1866778945,146127.1,0.0,225469649,0.0,0.0,1,0
566150,23,1,146127.1,785373587,146127.1,0.0,1824914593,177874.39,324001.49,1,0
571496,24,4,291305.98,71665357,291305.98,0.0,1607901570,0.0,0.0,1,0
571497,24,1,291305.98,1962370851,291305.98,0.0,1560190757,954554.82,1247963.68,1,0
572194,24,4,986876.27,1702714599,986876.27,0.0,83459379,0.0,0.0,1,0
572195,24,1,986876.27,1896884992,986876.27,0.0,309078889,57853.96,1044730.24,1,0
572854,24,4,6844.73,997222163,6844.73,0.0,761549792,0.0,0.0,1,0
572855,24,1,6844.73,2006451816,6844.73,0.0,1380348902,264100.7,270945.42,1,0
574433,25,4,8383.17,282822245,8383.17,0.0,1731493383,0.0,0.0,1,0
574434,25,1,8383.17,644686763,8383.17,0.0,980380973,6577262.64,6585645.81,1,0
574482,25,4,781953.11,763225876,781953.11,0.0,1927695058,0.0,0.0,1,0
574483,25,1,781953.11,1665079678,781953.11,0.0,1566512642,0.0,781953.11,1,0
574713,25,4,217231.0,1527375688,217231.0,0.0,658289217,0.0,0.0,1,0
574714,25,1,217231.0,1847744332,217231.0,0.0,1181708889,7236671.1,7453902.1,1,0
574957,25,4,44829.81,589374615,44829.81,0.0,1612426642,0.0,0.0,1,0
574958,25,1,44829.81,1812532920,44829.81,0.0,1135869087,301552.31,346382.12,1,0
574960,25,4,296333.54,1473328942,296333.54,0.0,1650053869,0.0,0.0,1,0
574961,25,1,296333.54,1938399138,296333.54,0.0,257884050,3355664.68,3651998.22,1,0
574991,25,4,18126.95,556483673,18126.95,0.0,946378506,0.0,0.0,1,0
574992,25,1,18126.95,57087263,18126.95,0.0,1574807586,0.0,18126.95,1,0
575028,25,4,249159.26,862942009,249159.26,0.0,1488413166,0.0,0.0,1,0
575029,25,1,249159.26,1962232117,249159.26,0.0,750661006,285997.41,535156.67,1,0
575511,25,4,1698263.69,1865185181,1698263.69,0.0,388097316,0.0,0.0,1,0
575512,25,1,1698263.69,902520408,1698263.69,0.0,1047966944,0.0,1698263.69,1,0
575768,25,4,802382.45,127098115,802382.45,0.0,1570699013,0.0,0.0,1,0
575769,25,1,802382.45,1343455954,802382.45,0.0,1045004287,0.0,802382.45,1,0
575854,26,4,37065.55,1952239554,37065.55,0.0,399460584,0.0,0.0,1,0
575855,26,1,37065.55,281192595,37065.55,0.0,514736179,1396327.66,1433393.21,1,0
576000,26,4,369186.87,1879175902,369186.87,0.0,900709443,0.0,0.0,1,0
576001,26,1,369186.87,1121219802,369186.87,0.0,418751321,36224.11,405410.97,1,0
576022,26,4,78741.64,1482114822,78741.64,0.0,2123466960,0.0,0.0,1,0
576023,26,1,78741.64,1993214834,78741.64,0.0,1402138462,48628.52,127370.16,1,0
576027,26,4,1646181.09,700083141,1646181.09,0.0,1359428492,0.0,0.0,1,0
576028,26,1,1646181.09,441238852,1646181.09,0.0,2059240998,220025.2,1866206.29,1,0
576160,26,4,331829.94,1549516546,331829.94,0.0,1908627867,0.0,0.0,1,0
576161,26,1,331829.94,1357985676,331829.94,0.0,255246845,792855.99,1124685.94,1,0
576166,26,4,1027152.36,414159853,1027152.36,0.0,1087566727,0.0,0.0,1,0
576167,26,1,1027152.36,1016323653,1027152.36,0.0,409414944,519428.56,1546580.92,1,0
576300,27,4,494244.61,1529468267,494244.61,0.0,1924171481,0.0,0.0,1,0
576301,27,1,494244.61,1544211314,494244.61,0.0,1751768780,653451.43,1147696.03,1,0
576319,27,4,329937.88,699198167,329937.88,0.0,2064246111,0.0,0.0,1,0
576320,27,1,329937.88,148278282,329937.88,0.0,1783581377,349407.23,679345.1,1,0
576324,27,4,496128.26,842027258,496128.26,0.0,136618845,0.0,0.0,1,0
576325,27,1,496128.26,705152518,496128.26,0.0,741210093,465770.07,961898.33,1,0
576332,27,4,1218165.88,361429301,1218165.88,0.0,550179566,0.0,0.0,1,0
576333,27,1,1218165.88,807604201,1218165.88,0.0,849028719,742564.27,1960730.15,1,0
576334,28,4,3832058.34,1279307827,3832058.34,0.0,1124913173,0.0,0.0,1,0
576335,28,1,3832058.34,426880249,3832058.34,0.0,1566081912,531662.14,4363720.48,1,0
576336,28,4,491517.77,1029198062,491517.77,0.0,1534111155,0.0,0.0,1,0
576337,28,1,491517.77,1198658385,491517.77,0.0,523126423,518777.34,1010295.11,1,0
576338,29,4,340198.41,491994230,340198.41,0.0,772681684,0.0,0.0,1,0
576339,29,1,340198.41,1369188336,340198.41,0.0,1627551181,1614043.79,1954242.21,1,0
576340,29,4,268641.82,775733773,268641.82,0.0,2121303056,0.0,0.0,1,0
576341,29,1,268641.82,2038670336,268641.82,0.0,1068543577,197163.95,465805.77,1,0
576342,30,4,122235.11,1279213624,122235.11,0.0,2100791242,0.0,0.0,1,0
